name,tweets,following,followers,I'm following
karuna_sagar13,20,157,11,False
marce_dev,411,470,270,False
YazilimAtaman,4,75,3,False
Shaykhiyan,2160,785,366,False
Bhuwansp1,37,165,14,False
tr_machine,0,510,7,False
adityaxcix,8,186,8,False
AshleyKiss1994,2,24,0,False
Mumm___,152,1224,12,False
Priyamvadadongr,39,302,13,False
Naresh_Malli,581,1128,57,False
VaibhavNanware5,0,12,2,False
Muhamma78281456,6,78,4,False
asishsaidheeraj,0,120,2,False
arun____r,89,1290,14,False
Rohan04313462,3,37,3,False
hari999918,1193,952,151,False
primarynote_,1354,952,101,False
suryayadav63fam,1420,856,51,False
youssef57733168,5,434,12,False
akhilrathipelly,80,313,22,False
Ulazmi41,25,15,0,False
SaloniTandel2,428,435,1,False
bharatgl_,201,946,98,False
Rutik_Darekar3,0,45,0,False
bagate_ashish,14,117,4,False
Sinchan12083851,4,20,0,False
IamAniruddhaG,37,383,7,False
Kocee_clever,8,131,6,False
Farukbazu,40079,471,573,False
ItsMe_MVS,70,168,11,False
Yash_8104,200,209,14,False
patil_khush,6793,441,230,False
KartikeyMittal_,9,29,3,False
raaajjeshreddy,2,274,1,False
batman__o_o,3,180,6,False
abrar_farhad,83,73,72,False
RojobAl00751499,86,523,70,False
hunstein008,702,220,28,False
skabdul22,36,221,9,False
KhushbuBhatiaa,2,22,1,False
a_squared123,42,232,8,False
BadalGugnani7,365,1312,49,False
nativetechguy,1581,1230,232,False
sfwawa,60,97,1,False
assa3d2,14,1108,8,False
Shashan44193539,4,300,58,False
Freedom00131400,3780,1244,120,False
pintucodes,0,176,148,False
Amiteshptn,194,1633,521,False
kumar_devesh_01,30,30,2,False
Pierrej99596753,4,499,21,False
hp_gohil07,12,279,3,False
ADITYAK37929458,128,181,82,False
royprasun03,0,56,4,False
CJError404,4604,309,136,False
MdAasif111,34,270,3,False
AryamanZ29,974,115,79,False
UppatiSurya,14,96,2,False
9999Proton,0,100,0,False
alokyadavgpa,495,1207,72,False
DhanyashreeC,0,40,0,False
Rohit_J63,42,140,52,False
SakshiDongare1,52,90,32,False
ashidacious,682,1209,183,False
Pushkar80043849,0,44,1,False
architgupta938,69,159,1,False
heyTheMessiGuy,4000,2018,228,False
vijayveleti,1,73,0,False
tanishpatel01,899,73,79,False
Ganesh_075,29,343,15,False
CologneHavanova,121,40,11,False
SyedZeeshanphys,207,213,23,False
Awanjanw,214,230,21,False
unoffcl_beckham,70,208,24,False
RAMKIKARUPPU,4,990,1,False
tammy_love90,5,929,181,False
KhajaSy01441635,221,485,7,False
AAPATEL07,8716,751,3,False
PRahekar,200,94,12,False
Wannaknowie,2,36,4,False
ManvindarSing17,6,51,5,False
iamgmlko14,219,268,45,False
Knight_r1der,35189,4135,306,False
swapnarchives,5660,200,173,False
226rinku,236,214,45,False
abhi16O2,0,74,1,False
sachindra_cs,13,75,7,False
SumedhaZaware,28,40,12,False
SayanDas276,322,102,11,False
ram23648987,15,30,1,False
Enemybonsai,12,1695,25,False
shalabhbits,218,839,146,False
halliyavarsamm1,81,48,16,False
NandkishorMet14,1,68,0,False
GayatriWalke,4,49,5,False
KumarKu80839121,3813,286,22,False
ize_spy,0,63,3,False
ArupDas_4U,1,110,1,False
surya050607,0,90,4,False
Nandarajan8,90,1084,52,False
code_benji,1087,199,163,False
GunaPolukonda,1,156,2,False
smokingplastic1,4,180,3,False
Patrick82687036,1,105,5,False
Cie58229431,47,69,0,False
warrior047,815,718,132,False
__Amrita_08,2,14,2,False
tulipsrblue,292,1894,9,False
ArshSin69603777,1,57,0,False
AnilSivarama,173,224,4,False
zerpaivan,1302,308,93,False
WakitaSatomi,5,177,13,False
IkeoluwaAshade,686,527,278,False
LuseraTech,6,21,0,False
Tejasvini22,12,194,6,False
S_Nurahman,2180,2333,197,False
dekh_lo_baba,742,952,389,False
Alejarmex,16232,1733,541,False
ChiagoziemChime,14,631,41,False
paolaeremo19,1199,214,21,False
RichardTettehM1,391,395,372,False
hans_kompier,1054,4030,358,False
MugeGnr,5449,350,107,False
qweds70655102,174,58,2,False
realANBV,61,124,5,False
Dev77Tinker,268,110,22,False
hashlinuxar,3,38,0,False
TeeshaBhagat,0,213,11,False
mauryabibhu19,1745,368,56,False
OuderkirkChuck,6,212,1,False
NoupingStanley,7,350,29,False
RangeshTester,4,63,6,False
rohitgilbile,1423,447,445,False
BeingEvolving,688,288,47,False
bobby_trejo,2,8,1,False
Salisu_mutalib,5,167,6,False
iamvr_,2903,1183,30,False
AmanJai37097937,1,31,2,False
TanyaVermaaa,577,242,196,False
NayanaKrishna7,1,65,3,False
ShivanshBagga,61,24,10,False
dmq131177,31,510,5,False
AdvDataSolution,1,20,0,False
1c5a9e5072cf486,11,268,14,False
Anandreddy333,65,118,26,False
yahyashaik45,17611,785,98,False
Sandro_Apdo,1367,827,96,False
mad13gamer,71,74,38,False
bito_mcintosh,1603,863,197,False
kpradeep_7,54,43,12,False
kiranpatil1541,89,70,9,False
k_metia,42,182,4,False
sugukub,31,97,52,False
incognito_2k1,0,46,2,False
PreetiOdisha,1,956,34,False
AlexisGreat9,0,194,14,False
Im_pritam18,9,159,16,False
iamSRC27,59,413,11,False
thesaralthummar,77,114,67,False
riezelangelu,87,81,8,False
umakanth_u,0,43,0,False
BasfordTc,0,276,19,False
cutecoder96,190,75,16,False
imsree_18,196,26,2,False
AdityaWaghaskar,3,1259,54,False
ecuaciongeneral,4,18,1,False
sbhm_prksh,291,272,29,False
are_harish,292,230,10,False
Frommasters,138,373,16,False
AryanAvnishxD,55,118,25,False
JanusAlex2,531,1406,17,False
karomo_,330,331,324,False
ferneutronn,600,375,122,False
MingGuo23090339,151,1380,48,False
nobert_wekesa,0,64,0,False
nvaishnavi3,9,56,1,False
TecnologiaE4,331,2901,407,False
toutsav,8461,672,70,False
JoseGal51457497,52,962,159,False
Eklachalorey,1537,347,56,False
raviraj226,327,19,33,False
Olurotimi_jr,30,373,17,False
The_player_9,679,1011,278,False
RomanSamets,1,161,1,False
Invisible2120,5096,552,471,False
waseemalam242,4,105,0,False
Dkguptastm,717,32,5,False
KoshurZaamTurr,17,2314,17,False
OdipoVince,884,974,471,False
GourabSwain20,4,382,13,False
alfiyya_ktk,28324,1763,1364,False
Anshul_37,38,95,18,False
OTHMANE_BNR,3,21,1,False
SAURABH47142082,298,176,9,False
iam_manish43,113,318,12,False
phantomramen,228,325,45,False
Iam_koolkid,3331,807,834,False
ForealNPC,10,1696,33,False
Flamehead53,1212,2017,77,False
